ID,Sport,Group,Model2_data,Cohort,Code,Age,Sex,Ethnicity,IAAF,Grade_IRCRA,Exp_yrs,Hrs_Sport,Hrs_Other,Hrs_Total,Other_List,Mass,Stature,SitHeight,ArmSpan,Tibia,TibiaHeight,ForearmL,ForeHand,Biacrom,Biiliac,ForearmC,Triceps,2D,4D,HandLength,HandBreadth,FootLength,FootBreadth,Leg,Arm,Humerus,Femur,Finger,,,,,,,,,,,,,,,,,,,,
AC-001,Climb,ClimbM,No,Non-elite,Cn/m,33,Male,White,,13,9,7,2,9,Run,64.5,164.50,84.00,175.50,38.45,46.30,27.20,45.50,46.87,31.10,26.45,7.30,6.73,7.12,17.7,7.9,23.6,8.1,80.50,64.31,18.81,34.20,6.93,,,,,,,,,,,,,,,,,,,,
AC-002,Climb,ClimbM,No,Non-elite,Cn/m,27,Male,White,,11,20,4,0,4,NONE,67.1,183.25,94.50,187.50,41.65,49.85,29.85,49.30,47.41,27.25,25.55,7.90,7.12,7.54,18.4,8.2,24.9,8.5,88.75,70.05,20.75,38.90,7.33,,,,,,,,,,,,,,,,,,,,
AC-003,Climb,ClimbF,No,Non-elite,Cn/f,25,Female,White,,17,5.5,5,10.5,15.5,"Skating, Ice-hockey, Run, Swim, Cycle",66.8,172.50,92.75,165.25,37.55,44.75,24.75,42.20,42.04,27.30,25.10,14.00,6.58,6.79,17.4,8.0,21.1,8.4,79.75,61.60,19.40,35.00,6.69,,,,,,,,,,,,,,,,,,,,
AC-004,Climb,ClimbM,No,Non-elite,Cn/m,22,Male,White,,17,4,10,3,13,"Gym, Walk, Cycle, Stretch",89.6,187.50,96.50,192.00,43.00,51.25,30.15,49.75,39.10,30.70,31.10,6.90,7.35,7.95,18.8,9.1,25.8,9.7,91.00,76.45,26.70,39.75,7.65,,,,,,,,,,,,,,,,,,,,
AX-001,Control,ControlF,Yes,NA,X/f,26,Female,Mixed,,,NA,NA,10,10,"Run, Cycle, Yoga",61.9,165.50,87.25,167.50,38.75,44.70,27.20,44.60,36.10,27.25,23.60,14.90,6.60,6.82,17.0,7.7,22.4,8.6,78.25,65.70,21.10,33.55,6.71,,,,,,,,,,,,,,,,,,,,
AX-002,Control,ControlM,Yes,NA,X/m,21,Male,White,,,NA,NA,13,13,"Row, Run, Gym, Swim",97.5,187.50,95.50,189.25,42.55,50.90,29.40,48.40,39.50,30.50,29.75,17.20,7.72,7.77,19.0,9.1,23.7,9.0,92.00,74.88,26.48,41.10,7.75,,,,,,,,,,,,,,,,,,,,
AX-003,Control,ControlM,Yes,NA,X/m,22,Male,White,,,NA,NA,11,11,"Row, Gym, Cycle",74.6,178.50,96.00,176.00,38.30,46.20,27.15,45.80,41.50,25.75,28.10,8.60,6.71,7.20,18.0,8.3,24.7,9.0,82.50,67.25,21.45,36.30,6.96,,,,,,,,,,,,,,,,,,,,
AR-001,Run,RunF,No,Non-elite,Rn/f,22,Female,White,419,,6,5,5,10,"Swim, Walk",61.9,172.50,93.75,176.75,37.80,45.90,26.95,45.30,37.35,28.00,21.30,17.40,7.16,7.46,17.4,7.6,23.0,8.1,78.75,69.70,24.40,32.85,7.31,,,,,,,,,,,,,,,,,,,,
AR-002,Run,RunM,No,Non-elite,Rn/m,20,Male,White,661,,0.5,4,0,4,Cycle,66.5,177.25,89.00,182.50,39.20,48.90,27.90,47.25,42.60,27.50,25.45,6.40,7.71,7.99,19.0,8.4,25.9,9.1,88.25,69.95,22.70,39.35,7.85,,,,,,,,,,,,,,,,,,,,
AX-040,Control,ControlM,Yes,NA,X/m,32,Male,White,,,NA,NA,9.5,9.5,"Football, Gym, Lacrosse, Raquet sports",78.3,183.75,99.25,183.75,40.30,48.90,28.00,48.30,42.25,29.75,28.50,11.50,7.35,7.58,19.3,8.8,26.1,10.1,84.50,70.75,22.45,35.60,7.47,,,,,,,,,,,,,,,,,,,,
