"ID","Sport","Group","Model2_data","Cohort","Code","Age","Sex","Ethnicity","IAAF","Grade_IRCRA","Exp_yrs","Hrs_Sport","Hrs_Other","Hrs_Total","Other_List","Mass","Stature","SitHeight","ArmSpan","Tibia","TibiaHeight","ForearmL","ForeHand","Biacrom","Biiliac","ForearmC","Triceps","X2D","X4D","HandLength","HandBreadth","FootLength","FootBreadth","Leg","Arm","Humerus","Femur","Finger","PC1"
"AC-001","Climb","ClimbM","No","Non-elite","Cn/m",33,"Male","White",NA,13,9,7,2,9,"Run",64.5,164.5,84,175.5,38.45,46.3,27.2,45.5,46.87,31.1,26.45,7.3,6.73,7.12,17.7,7.9,23.6,8.1,80.5,64.31,18.81,34.2,6.93,0.341245249187483
"AC-002","Climb","ClimbM","No","Non-elite","Cn/m",27,"Male","White",NA,11,20,4,0,4,"NONE",67.1,183.25,94.5,187.5,41.65,49.85,29.85,49.3,47.41,27.25,25.55,7.9,7.12,7.54,18.4,8.2,24.9,8.5,88.75,70.05,20.75,38.9,7.33,3.56198322270512
"AC-003","Climb","ClimbF","No","Non-elite","Cn/f",25,"Female","White",NA,17,5.5,5,10.5,15.5,"Skating, Ice-hockey, Run, Swim, Cycle",66.8,172.5,92.75,165.25,37.55,44.75,24.75,42.2,42.04,27.3,25.1,14,6.58,6.79,17.4,8,21.1,8.4,79.75,61.6,19.4,35,6.69,-1.31417377226985
"AC-004","Climb","ClimbM","No","Non-elite","Cn/m",22,"Male","White",NA,17,4,10,3,13,"Gym, Walk, Cycle, Stretch",89.6,187.5,96.5,192,43,51.25,30.15,49.75,39.1,30.7,31.1,6.9,7.35,7.95,18.8,9.1,25.8,9.7,91,76.45,26.7,39.75,7.65,4.22830586455472
"AX-001","Control","ControlF","Yes",NA,"X/f",26,"Female","Mixed",NA,NA,NA,NA,10,10,"Run, Cycle, Yoga",61.9,165.5,87.25,167.5,38.75,44.7,27.2,44.6,36.1,27.25,23.6,14.9,6.6,6.82,17,7.7,22.4,8.6,78.25,65.7,21.1,33.55,6.71,-1.79565628544826
"AX-002","Control","ControlM","Yes",NA,"X/m",21,"Male","White",NA,NA,NA,NA,13,13,"Row, Run, Gym, Swim",97.5,187.5,95.5,189.25,42.55,50.9,29.4,48.4,39.5,30.5,29.75,17.2,7.72,7.77,19,9.1,23.7,9,92,74.88,26.48,41.1,7.75,3.58930325273447
"AX-003","Control","ControlM","Yes",NA,"X/m",22,"Male","White",NA,NA,NA,NA,11,11,"Row, Gym, Cycle",74.6,178.5,96,176,38.3,46.2,27.15,45.8,41.5,25.75,28.1,8.6,6.71,7.2,18,8.3,24.7,9,82.5,67.25,21.45,36.3,6.96,0.918184180991417
"AR-001","Run","RunF","No","Non-elite","Rn/f",22,"Female","White",419,NA,6,5,5,10,"Swim, Walk",61.9,172.5,93.75,176.75,37.8,45.9,26.95,45.3,37.35,28,21.3,17.4,7.16,7.46,17.4,7.6,23,8.1,78.75,69.7,24.4,32.85,7.31,-0.0710988845040875
"AR-002","Run","RunM","No","Non-elite","Rn/m",20,"Male","White",661,NA,0.5,4,0,4,"Cycle",66.5,177.25,89,182.5,39.2,48.9,27.9,47.25,42.6,27.5,25.45,6.4,7.71,7.99,19,8.4,25.9,9.1,88.25,69.95,22.7,39.35,7.85,2.25719417472542
"AX-040","Control","ControlM","Yes",NA,"X/m",32,"Male","White",NA,NA,NA,NA,9.5,9.5,"Football, Gym, Lacrosse, Raquet sports",78.3,183.75,99.25,183.75,40.3,48.9,28,48.3,42.25,29.75,28.5,11.5,7.35,7.58,19.3,8.8,26.1,10.1,84.5,70.75,22.45,35.6,7.47,3.54772814023706
"AX-004","Control","ControlM","Yes",NA,"X/m",22,"Male","Asian",NA,NA,NA,NA,4.5,4.5,"Gym",72.2,168.25,86.75,174.25,36.85,45.15,27.55,44.8,39.95,27.25,26.45,18,6.62,7.04,18.2,8,21,8.9,81.5,67.15,22.35,36.35,6.83,-1.10534047552375
"AR-004","Run","RunM","No","Non-elite","Rn/m",24,"Male","Asian",206,NA,5,4,3,7,"Football, Hockey",55,167.5,88.5,167,36.75,43.95,25.7,43.2,37.55,26.65,22.2,7.6,6.17,6.6,17.5,7.1,21.3,8.4,79,64.73,21.53,35.05,6.39,-2.37072423986763
"AX-005","Control","ControlM","Yes",NA,"X/m",25,"Male","White",NA,NA,NA,NA,6,6,"Waterpolo, Cycle",102.9,187.75,96.75,185,41.75,50.95,28.45,46.7,44.15,32.5,29.8,7.2,6.8,7.05,17.5,7.9,22.4,9,91,70.43,23.73,40.05,6.93,2.76568137882419
"AC-005","Climb","ClimbF","No","Non-elite","Cn/f",42,"Female","White",NA,17,9,4,7.5,11.5,"Walk, Run, Slackline",54.2,162.5,87,160.25,34.6,42.45,24.8,42.3,34.35,25.55,23.3,14.1,6.61,6.81,17,7.6,21.3,8.7,75.5,62.95,20.65,33.05,6.71,-3.79004993544858
"AX-006","Control","ControlF","Yes",NA,"X/f",23,"Female","White",NA,NA,NA,NA,5,5,"Cycle, Walk, Gym",53.9,159.5,87.75,153,33.45,40.75,22.15,40,34,26.4,23.65,17.1,6.67,6.84,17.4,7.2,20.8,7.8,71.75,59.5,19.5,31,6.76,-4.66123183024875
"AC-006","Climb","ClimbF","No","Non-elite","Cn/f",24,"Female","Asian",NA,18,3,11,3,14,"Run, Walk, Squash",59.4,160.75,87.25,162.25,35.6,42.75,25.75,42.1,36.45,26.8,24.65,21.3,6.53,6.95,17.8,7.6,23,9.2,73.5,62.9,20.8,30.75,6.74,-2.51194943214544
"AX-007","Control","ControlF","Yes",NA,"X/f",20,"Female","White",NA,NA,NA,NA,5.5,5.5,"Gym, Walk, Yoga",58.8,161,90.5,155,35.65,42.15,23.1,40.6,34.25,28.6,24.5,22.95,6.52,7.09,16.7,7.3,20.7,7.7,70.5,60.38,19.78,28.35,6.81,-3.79120767207914
"AX-008","Control","ControlF","Yes",NA,"X/f",18,"Female","Asian",NA,NA,NA,NA,7,7,"Badminton, Frisbee",68.9,168.75,91.25,167.25,37.1,44.15,25.9,44.6,36,29.2,25.4,18.9,6.66,7.02,17.5,7.9,23.1,9.1,77.5,65.63,21.03,33.35,6.84,-1.29225217645012
"AX-009","Control","ControlF","Yes",NA,"X/f",22,"Female","White",NA,NA,NA,NA,4,4,"Swim, Run, Fencing, Walk",62.1,168,90,168,36.15,44.2,25.55,44,39.4,27.85,24.85,15.2,7.25,7.11,17.3,7.7,21.1,7.8,78,64.3,20.3,33.8,7.18,-1.59028287205448
"AX-010","Control","ControlM","Yes",NA,"X/m",19,"Male","White",NA,NA,NA,NA,6,6,"Gym",87,172.5,91,170.75,37.55,46.45,27.25,45.6,40.75,28.7,29.5,19.6,7.18,7.26,18.1,8.4,23.2,9.1,81.5,65,19.4,35.05,7.22,0.177608644295782
"AX-011","Control","ControlF","Yes",NA,"X/f",22,"Female","Asian",NA,NA,NA,NA,0,0,"Walk",53.1,155.5,85.5,154.5,35,42,23.85,41.05,32.3,24.7,23.8,17.1,6.57,6.71,16.3,7.2,22.3,8.3,70,61.1,20.05,28,6.64,-4.8713025181403
"AR-005","Run","RunF","No","Non-elite","Rn/f",19,"Female","White",419,NA,2,3.5,2.5,6,"Walk",56.1,157,85.75,152.5,33.55,41.8,24.1,40.45,34.9,27.65,23.1,17.4,6.11,6.54,16.2,7.3,20.2,7.5,71.25,58.8,18.35,29.45,6.33,-5.05543397643665
