Category,Subcategory,Species,Reference,Specimen,Location,Sex,Mass,Stature
Study Sample,NA,H. sapiens,NA,NA,UK,M,64.5,1645.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,67.1,1832.50
Study Sample,NA,H. sapiens,NA,NA,UK,F,66.8,1725.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,89.6,1875.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,61.9,1655.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,97.5,1875.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,74.6,1785.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,61.9,1725.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,66.5,1772.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,78.3,1837.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,72.2,1682.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,55,1675.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,102.9,1877.50
Study Sample,NA,H. sapiens,NA,NA,UK,F,54.2,1625.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,53.9,1595.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,59.4,1607.50
Study Sample,NA,H. sapiens,NA,NA,UK,F,58.8,1610.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,68.9,1687.50
Study Sample,NA,H. sapiens,NA,NA,UK,F,62.1,1680.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,87,1725.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,53.1,1555.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,56.1,1570.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,67.9,1887.50
Study Sample,NA,H. sapiens,NA,NA,UK,M,73.2,1840.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,59.9,1630.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,66.6,1705.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,86,1855.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,91,1890.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,75.8,1750.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,73,1842.50
Study Sample,NA,H. sapiens,NA,NA,UK,F,56.4,1660.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,72.4,1765.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,63.4,1725.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,80.4,1835.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,61.2,1645.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,69.8,1740.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,54.5,1680.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,55.4,1750.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,87.1,1830.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,74.4,1870.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,58.1,1615.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,60,1565.00
Study Sample,NA,H. sapiens,NA,NA,UK,F,66.2,1765.00
Study Sample,NA,H. sapiens,NA,NA,UK,M,78.7,1790.00
