"Extraction_name","Model_name","Parameter1","Parameter1_index","Parameter2","Parameter2_index","Comparison_type","mean","sd","ci_lower_89","ci_upper_89","ci_lower_95","ci_upper_95","prob_positive","n_samples"
"m1_PC1___RunM","m1_PC1","b",2,NA,NA,"single",-0.165659351162154,0.13530868151392,-0.3813620496,0.0504384641249999,-0.43008432975,0.10084465875,0.1090625,16000
"m1_PC1.Eth___RunM","m1_PC1.Eth","b",2,NA,NA,"single",-0.214304971699097,0.132417104052311,-0.42473936675,-0.00212637972900012,-0.47541393875,0.0441209144249999,0.05325,16000
"m1_PC1___ClimbM","m1_PC1","b",4,NA,NA,"single",-0.0137018364757677,0.149970963089424,-0.2516992663,0.2248311836,-0.30565997525,0.2817042415,0.4645,16000
"m1_PC1.Eth___ClimbM","m1_PC1.Eth","b",4,NA,NA,"single",-0.0158466606328569,0.146353091241758,-0.2481011672,0.2165448019,-0.30608991175,0.27596740725,0.454625,16000
"m1_PC1___RunF","m1_PC1","b",1,NA,NA,"single",-0.128152810004118,0.148236590661508,-0.36542335605,0.10698071135,-0.4226816985,0.16543017225,0.195,16000
"m1_PC1.Eth___RunF","m1_PC1.Eth","b",1,NA,NA,"single",-0.113132017393395,0.143650285512191,-0.34156615725,0.116449741249999,-0.3952184465,0.167683932,0.216125,16000
"m1_PC1___ClimbF","m1_PC1","b",3,NA,NA,"single",-0.220501546217746,0.165907720364759,-0.48471847665,0.0441607827799999,-0.54833503,0.10753143,0.0915625,16000
"m1_PC1.Eth___ClimbF","m1_PC1.Eth","b",3,NA,NA,"single",-0.1833352919686,0.160256463483334,-0.43895250285,0.07207126317,-0.49424992575,0.1311172815,0.128,16000
"m1_PC1___RunM.RunF","m1_PC1","b",2,"b",1,"difference",-0.0375065411580358,0.202697846129499,-0.362613369133,0.28644309927,-0.445180563925,0.357084284225,0.427375,16000
"m1_PC1.Eth___RunM.RunF","m1_PC1.Eth","b",2,"b",1,"difference",-0.101172954305701,0.19704619255283,-0.41602361257,0.21253369905,-0.48795285625,0.279665772,0.3056875,16000
"m1_PC1___ClimbM.ClimbF","m1_PC1","b",4,"b",3,"difference",0.206799709741978,0.222134695098832,-0.142204521065,0.560924804,-0.227010943575,0.6409382498,0.8230625,16000
"m1_PC1.Eth___ClimbM.ClimbF","m1_PC1.Eth","b",4,"b",3,"difference",0.167488631335743,0.214655098106415,-0.17442958479,0.50654657215,-0.2539577843225,0.5860191307,0.7816875,16000
"m1_PC1___ClimbM.RunM","m1_PC1","b",4,"b",2,"difference",0.151957514686387,0.201777233248948,-0.1741797995075,0.47463524965,-0.24262496425,0.54555468205,0.7754375,16000
"m1_PC1.Eth___ClimbM.RunM","m1_PC1.Eth","b",4,"b",2,"difference",0.19845831106624,0.196277937985548,-0.11750806507,0.5134060878,-0.18684133775,0.5903740865675,0.846,16000
"m1_PC1___ClimbF.RunF","m1_PC1","b",3,"b",1,"difference",-0.0923487362136271,0.22223961323449,-0.446394278197,0.264827909795,-0.52144097678,0.3381049363,0.3381875,16000
"m1_PC1.Eth___ClimbF.RunF","m1_PC1.Eth","b",3,"b",1,"difference",-0.0702032745752048,0.213865164519062,-0.41384173508915,0.271229885035,-0.48982351683,0.346865707474,0.3715,16000
"m1_Stature___RunM","m1_Stature","b",2,NA,NA,"single",-0.161945408567811,0.14720814687887,-0.39585752695,0.0749180576799999,-0.44657087425,0.12858237675,0.135875,16000
"m1_Stature.Eth___RunM","m1_Stature.Eth","b",2,NA,NA,"single",-0.214847287797294,0.141695331080624,-0.4436157876,0.0106880273599995,-0.49740001125,0.062382583475,0.0645,16000
"m1_Stature___ClimbM","m1_Stature","b",4,NA,NA,"single",0.0151702466086148,0.138991546144885,-0.20676528805,0.23818576,-0.25702869275,0.2895783975,0.5428125,16000
"m1_Stature.Eth___ClimbM","m1_Stature.Eth","b",4,NA,NA,"single",0.000351253896196218,0.137276612889459,-0.21970180605,0.21904871455,-0.27013581225,0.2711262985,0.50175,16000
"m1_Stature___RunF","m1_Stature","b",1,NA,NA,"single",-0.0181762143580874,0.150134464768757,-0.2582139034,0.2199121865,-0.31110649825,0.27627216975,0.451,16000
"m1_Stature.Eth___RunF","m1_Stature.Eth","b",1,NA,NA,"single",-0.0227650878196984,0.146792310060089,-0.2603277003,0.2103271053,-0.3125835265,0.26757080925,0.4360625,16000
"m1_Stature___ClimbF","m1_Stature","b",3,NA,NA,"single",-0.187818659207408,0.163292986749533,-0.45030602745,0.0746151968599998,-0.5066839555,0.133020451,0.123875,16000
"m1_Stature.Eth___ClimbF","m1_Stature.Eth","b",3,NA,NA,"single",-0.19467358924039,0.158729451964483,-0.44407908025,0.0599378740749998,-0.505876145,0.11424078825,0.108625,16000
"m1_Stature___RunM.RunF","m1_Stature","b",2,"b",1,"difference",-0.143769194209724,0.208411822494949,-0.4745605224,0.1907291188275,-0.5522989295,0.2651458352,0.245125,16000
"m1_Stature.Eth___RunM.RunF","m1_Stature.Eth","b",2,"b",1,"difference",-0.192082199977595,0.205418412199582,-0.52183264651,0.139480467455,-0.59873925625,0.2103703226,0.171125,16000
"m1_Stature___ClimbM.ClimbF","m1_Stature","b",4,"b",3,"difference",0.202988905816023,0.213656605222103,-0.13708430857,0.546755215834999,-0.2175262137725,0.62690762925,0.8325625,16000
