"Sex","Model_name","Parameter","rhat","ess_bulk"
"Female","m2_PC1.Eth","x[1]",1.00019986352771,12657.8834680491
"Female","m2_PC1.Eth","x[2]",1.00010418275249,16829.4324564485
"Female","m2_PC1.Eth","x[3]",1.00023009913199,14640.3032227976
"Female","m2_PC1.Eth","x[4]",1.00007824894902,11178.8461789537
"Female","m2_PC1.Eth","x[5]",1.00042728149043,13554.4894122806
"Female","m2_PC1.Eth","z[1]",1.00064208549521,9362.90475936893
"Female","m2_PC1.Eth","z[2]",1.00024857001041,12111.3690228309
"Female","m2_PC1.Eth","z[3]",1.00060438733133,16400.4434539684
"Female","m2_PC1.Eth","z[4]",1.00034911249504,11678.1087506838
"Female","m2_PC1.Eth","z[5]",1.0006285142706,18020.9749345695
"Female","m2_PC1.Eth","a",1.00039343359459,8009.26258269593
"Female","m2_PC1.Eth","sigma_b",1.00099638210284,5258.90926659238
"Female","m2_PC1.Eth","sigma_y",1.00014419852591,5731.04638176984
"Female","m2_PC1.Eth","sigma",1.00004164077938,16804.7341092344
"Female","m2_PC1.Eth","y[1]",1.00015778033235,8176.60982269194
"Female","m2_PC1.Eth","y[2]",1.00022039401885,9051.22616615407
"Female","m2_PC1.Eth","y[3]",0.999983915440754,15569.038319161
"Female","m2_PC1.Eth","y[4]",1.00027269889027,10947.1093353233
"Female","m2_PC1.Eth","y[5]",1.00014985267487,16806.6808272738
"Female","m2_PC1.Eth","b[1]",1.00046604297878,11049.9281760245
"Female","m2_PC1.Eth","b[2]",1.00013011695146,14846.5992169592
"Female","m2_PC1.Eth","b[3]",1.00060933332555,13451.1747483827
"Female","m2_PC1.Eth","b[4]",0.999973071728652,9279.90476624361
"Female","m2_PC1.Eth","b[5]",1.00071866279869,10340.3650025631
"Female","m2_Stature.Eth","x[1]",1.00012318554389,15275.3179027515
"Female","m2_Stature.Eth","x[2]",1.00050297732868,18963.3689201954
"Female","m2_Stature.Eth","x[3]",1.00002608587229,17021.4624139133
"Female","m2_Stature.Eth","x[4]",1.00012877766915,16417.6856288474
"Female","m2_Stature.Eth","x[5]",1.00075768060838,16051.960802509
"Female","m2_Stature.Eth","z[1]",1.00008051571398,13038.2972461914
"Female","m2_Stature.Eth","z[2]",1.00029593467399,18191.2015607108
"Female","m2_Stature.Eth","z[3]",1.00048278568407,19016.525643362
"Female","m2_Stature.Eth","z[4]",1.00063114946485,16230.7706645039
"Female","m2_Stature.Eth","z[5]",1.0004377996267,21107.2043239194
"Female","m2_Stature.Eth","a",1.00023890881955,9845.91101300017
"Female","m2_Stature.Eth","sigma_b",1.00066880316525,6522.8969484739
"Female","m2_Stature.Eth","sigma_y",1.00031180486941,8324.97044440373
"Female","m2_Stature.Eth","sigma",1.00022063328848,21101.827180303
"Female","m2_Stature.Eth","y[1]",1.00011332141129,10383.4608429663
"Female","m2_Stature.Eth","y[2]",1.00009667590866,17560.2330625845
"Female","m2_Stature.Eth","y[3]",1.00046640516818,15600.370291594
"Female","m2_Stature.Eth","y[4]",1.00007199664829,14268.4778126297
"Female","m2_Stature.Eth","y[5]",1.00004474312968,16900.5238682489
