Model_name,Model_family,Focal,Control1,Control2,Ethnicity,Model_type
m2_PC1.Eth,Model2,PC1,,,Y,m2.1M_Eth
m2_Stature.Eth,Model2,Stature,,,Y,m2.1M_Eth
m2_SitHeight.Eth,Model2,SitHeight,,,Y,m2.1M_Eth
m2_ArmSpan.Eth,Model2,ArmSpan,,,Y,m2.1M_Eth
m2_Leg.Eth,Model2,Leg,,,Y,m2.1M_Eth
m2_Femur.Eth,Model2,Femur,,,Y,m2.1M_Eth
m2_Tibia.Eth,Model2,Tibia,,,Y,m2.1M_Eth
m2_Arm.Eth,Model2,Arm,,,Y,m2.1M_Eth
m2_Humerus.Eth,Model2,Humerus,,,Y,m2.1M_Eth
m2_ForearmL.Eth,Model2,ForearmL,,,Y,m2.1M_Eth
m2_FootLength.Eth,Model2,FootLength,,,Y,m2.1M_Eth
m2_FootBreadth.Eth,Model2,FootBreadth,,,Y,m2.1M_Eth
m2_HandLength.Eth,Model2,HandLength,,,Y,m2.1M_Eth
m2_HandBreadth.Eth,Model2,HandBreadth,,,Y,m2.1M_Eth
m2_Finger.Eth,Model2,Finger,,,Y,m2.1M_Eth
m2_Biiliac.Eth,Model2,Biiliac,,,Y,m2.1M_Eth
m2_Biacrom.Eth,Model2,Biacrom,,,Y,m2.1M_Eth
m2_Mass.Eth,Model2,Mass,,,Y,m2.1M_Eth
m2_Triceps.Eth,Model2,Triceps,,,Y,m2.1M_Eth
m2_ForearmC.Eth,Model2,ForearmC,,,Y,m2.1M_Eth
m2_SitHeight.Stature.Eth,Model2,SitHeight,Stature,,Y,m2.2M_Eth
m2_ArmSpan.Stature.Eth,Model2,ArmSpan,Stature,,Y,m2.2M_Eth
m2_Leg.Stature.Eth,Model2,Leg,Stature,,Y,m2.2M_Eth
m2_Femur.Stature.Eth,Model2,Femur,Stature,,Y,m2.2M_Eth
m2_Tibia.Stature.Eth,Model2,Tibia,Stature,,Y,m2.2M_Eth
m2_Arm.Stature.Eth,Model2,Arm,Stature,,Y,m2.2M_Eth
m2_Humerus.Stature.Eth,Model2,Humerus,Stature,,Y,m2.2M_Eth
m2_ForearmL.Stature.Eth,Model2,ForearmL,Stature,,Y,m2.2M_Eth
m2_FootLength.Stature.Eth,Model2,FootLength,Stature,,Y,m2.2M_Eth
m2_FootBreadth.Stature.Eth,Model2,FootBreadth,Stature,,Y,m2.2M_Eth
m2_HandLength.Stature.Eth,Model2,HandLength,Stature,,Y,m2.2M_Eth
m2_HandBreadth.Stature.Eth,Model2,HandBreadth,Stature,,Y,m2.2M_Eth
m2_Finger.Stature.Eth,Model2,Finger,Stature,,Y,m2.2M_Eth
m2_Biiliac.Stature.Eth,Model2,Biiliac,Stature,,Y,m2.2M_Eth
m2_Biacrom.Stature.Eth,Model2,Biacrom,Stature,,Y,m2.2M_Eth
m2_Mass.Stature.Eth,Model2,Mass,Stature,,Y,m2.2M_Eth
