Model_family,Model_name,Extraction_name,Focal Metric,Control1,Control2,Ethnicity Control,Effect,Effect1,Effect 2,Parameter1,Parameter1_index,Parameter2,Parameter2_index,Comparison_type
Model2,m2_PC1,m2_PC1___Climb.Control,PC1,,,N,Climb.Control,Climb,Control,b,2,b,1,difference
Model2,m2_PC1.Eth,m2_PC1.Eth___Climb.Control,PC1,,,Y,Climb.Control,Climb,Control,b,2,b,1,difference
Model2,m2_PC1,m2_PC1___Run.Control,PC1,,,N,Run.Control,Run,Control,b,3,b,1,difference
Model2,m2_PC1.Eth,m2_PC1.Eth___Run.Control,PC1,,,Y,Run.Control,Run,Control,b,3,b,1,difference
Model2,m2_PC1,m2_PC1___Sprint.Control,PC1,,,N,Sprint.Control,Sprint,Control,b,4,b,1,difference
Model2,m2_PC1.Eth,m2_PC1.Eth___Sprint.Control,PC1,,,Y,Sprint.Control,Sprint,Control,b,4,b,1,difference
Model2,m2_PC1,m2_PC1___Walk.Control,PC1,,,N,Walk.Control,Walk,Control,b,5,b,1,difference
Model2,m2_PC1.Eth,m2_PC1.Eth___Walk.Control,PC1,,,Y,Walk.Control,Walk,Control,b,5,b,1,difference
Model2,m2_PC1,m2_PC1___Climb.Run,PC1,,,N,Climb.Run,Climb,Run,b,2,b,3,difference
Model2,m2_PC1.Eth,m2_PC1.Eth___Climb.Run,PC1,,,Y,Climb.Run,Climb,Run,b,2,b,3,difference
Model2,m2_PC1,m2_PC1___Climb.Sprint,PC1,,,N,Climb.Sprint,Climb,Sprint,b,2,b,4,difference
Model2,m2_PC1.Eth,m2_PC1.Eth___Climb.Sprint,PC1,,,Y,Climb.Sprint,Climb,Sprint,b,2,b,4,difference
Model2,m2_PC1,m2_PC1___Climb.Walk,PC1,,,N,Climb.Walk,Climb,Walk,b,2,b,5,difference
Model2,m2_PC1.Eth,m2_PC1.Eth___Climb.Walk,PC1,,,Y,Climb.Walk,Climb,Walk,b,2,b,5,difference
Model2,m2_PC1,m2_PC1___Run.Sprint,PC1,,,N,Run.Sprint,Run,Sprint,b,3,b,4,difference
Model2,m2_PC1.Eth,m2_PC1.Eth___Run.Sprint,PC1,,,Y,Run.Sprint,Run,Sprint,b,3,b,4,difference
Model2,m2_PC1,m2_PC1___Run.Walk,PC1,,,N,Run.Walk,Run,Walk,b,3,b,5,difference
Model2,m2_PC1.Eth,m2_PC1.Eth___Run.Walk,PC1,,,Y,Run.Walk,Run,Walk,b,3,b,5,difference
