"Sex","Extraction_name","Model_name","Parameter1","Parameter1_index","Parameter2","Parameter2_index","Comparison_type","mean","sd","ci_lower_89","ci_upper_89","ci_lower_95","ci_upper_95","prob_positive","n_samples"
"Female","m2_PC1___Climb.Control","m2_PC1","b",2,"b",1,"difference",0.020857264874606,0.251003110338291,-0.38731195216,0.424743853535,-0.514762766075,0.538863547,0.54325,16000
"Female","m2_PC1.Eth___Climb.Control","m2_PC1.Eth","b",2,"b",1,"difference",0.0419101116060586,0.24308428319263,-0.33890513668,0.4415028287,-0.460122207175,0.565635485,0.5753125,16000
"Female","m2_PC1___Run.Control","m2_PC1","b",3,"b",1,"difference",0.0132734015053183,0.219026510510469,-0.343340189935,0.36815471,-0.446797533475,0.45913763125,0.5330625,16000
"Female","m2_PC1.Eth___Run.Control","m2_PC1.Eth","b",3,"b",1,"difference",0.0334377272674403,0.208626192982933,-0.293741306785,0.381892962565,-0.39539491755,0.4824885245,0.5665,16000
"Female","m2_PC1___Sprint.Control","m2_PC1","b",4,"b",1,"difference",0.309798474332106,0.268795770266384,-0.037173386775,0.77768295,-0.09080750585,0.889779067,0.8898125,16000
"Female","m2_PC1.Eth___Sprint.Control","m2_PC1.Eth","b",4,"b",1,"difference",0.260814198885924,0.258614463010285,-0.06439798007,0.7221911655,-0.1265508911825,0.82807254825,0.8513125,16000
"Female","m2_PC1___Walk.Control","m2_PC1","b",5,"b",1,"difference",0.256059535099886,0.279351097599032,-0.100723269515,0.75693670065,-0.179635884025,0.88531694225,0.8288125,16000
"Female","m2_PC1.Eth___Walk.Control","m2_PC1.Eth","b",5,"b",1,"difference",0.263224320987997,0.28165525135159,-0.0784799740609,0.774224878849999,-0.152344720575,0.908513533,0.8351875,16000
"Female","m2_PC1___Climb.Run","m2_PC1","b",2,"b",3,"difference",0.00758386336928761,0.265156657198212,-0.41763289645855,0.440769145285,-0.558339805,0.56190944175,0.5149375,16000
"Female","m2_PC1.Eth___Climb.Run","m2_PC1.Eth","b",2,"b",3,"difference",0.00847238433861827,0.252953863627626,-0.395828076035,0.418814922909999,-0.530938479475,0.5443354572,0.5155,16000
"Female","m2_PC1___Climb.Sprint","m2_PC1","b",2,"b",4,"difference",-0.2889412094575,0.311967161114917,-0.8538622533,0.0934042668449999,-0.9959496495,0.17782840595,0.1599375,16000
