Measure,Control,Condition,Group,Type,Model,ClimbF,ClimbF.L,ClimbF.U,ClimbM,ClimbM.L,ClimbM.U,RunF,RunF.L,RunF.U,RunM,RunM.L,RunM.U,SprintF,SprintF.L,SprintF.U,SprintM,SprintM.L,SprintM.U,WalkF,WalkF.L,WalkF.U,WalkM,WalkM.L,WalkM.U
PC1,,PC1,Size & Shape,Absolute,Model1,-0.183,-0.439,0.072,-0.016,-0.248,0.217,-0.113,-0.342,0.116,-0.214,-0.425,-0.002,,,,,,,,,,,,
Stature,,Stature,Size & Shape,Absolute,Model1,-0.195,-0.444,0.060,0.000,-0.220,0.219,-0.023,-0.260,0.210,-0.215,-0.444,0.011,,,,,,,,,,,,
SitHeight,,SitHeight,Size & Shape,Absolute,Model1,-0.135,-0.417,0.152,0.025,-0.197,0.245,0.009,-0.207,0.219,-0.284,-0.511,-0.057,,,,,,,,,,,,
SitHeight,Stature,SitHeight [Stature],Size & Shape,Relative,Model1,-0.059,-0.399,0.280,0.091,-0.187,0.366,0.071,-0.184,0.323,-0.215,-0.495,0.068,,,,,,,,,,,,
ArmSpan,,ArmSpan,Size & Shape,Absolute,Model1,-0.211,-0.476,0.051,0.144,-0.075,0.364,-0.086,-0.320,0.143,-0.088,-0.312,0.132,,,,,,,,,,,,
ArmSpan,Stature,ArmSpan [Stature],Size & Shape,Relative,Model1,-0.061,-0.368,0.241,0.298,0.027,0.576,0.057,-0.223,0.331,0.076,-0.203,0.351,,,,,,,,,,,,
Leg,,Leg,Lower,Absolute,Model1,-0.207,-0.457,0.045,-0.020,-0.235,0.197,-0.046,-0.285,0.191,-0.103,-0.329,0.124,,,,,,,,,,,,
Leg,Stature,Leg [Stature],Lower,Relative,Model1,-0.112,-0.443,0.220,0.074,-0.232,0.379,0.045,-0.278,0.369,-0.009,-0.325,0.305,,,,,,,,,,,,
Femur,,Femur,Lower,Absolute,Model1,-0.216,-0.462,0.031,0.001,-0.216,0.218,-0.008,-0.248,0.231,-0.065,-0.291,0.159,,,,,,,,,,,,
Femur,Stature,Femur [Stature],Lower,Relative,Model1,-0.111,-0.404,0.182,0.106,-0.163,0.372,0.079,-0.196,0.355,0.032,-0.237,0.296,,,,,,,,,,,,
Tibia,,Tibia,Lower,Absolute,Model1,-0.218,-0.473,0.042,-0.080,-0.301,0.143,-0.111,-0.339,0.116,-0.108,-0.332,0.115,,,,,,,,,,,,
Tibia,Stature,Tibia [Stature],Lower,Relative,Model1,-0.227,-0.549,0.094,-0.089,-0.367,0.194,-0.121,-0.400,0.163,-0.115,-0.403,0.173,,,,,,,,,,,,
Tibia,Femur,Tibia [Femur],Lower,Relative,Model1,-0.278,-0.584,0.029,-0.143,-0.415,0.128,-0.159,-0.418,0.100,-0.159,-0.420,0.103,,,,,,,,,,,,
Arm,,Arm,Upper,Absolute,Model1,-0.204,-0.466,0.048,0.209,-0.012,0.425,-0.073,-0.299,0.153,-0.029,-0.260,0.202,,,,,,,,,,,,
Arm,Stature,Arm [Stature],Upper,Relative,Model1,0.001,-0.295,0.293,0.430,0.168,0.695,0.138,-0.134,0.411,0.219,-0.066,0.502,,,,,,,,,,,,
Arm,Leg,Arm [Leg],Upper,Relative,Model1,-0.006,-0.312,0.295,0.403,0.135,0.674,0.104,-0.168,0.375,0.168,-0.113,0.445,,,,,,,,,,,,
Humerus,,Humerus,Upper,Absolute,Model1,-0.327,-0.599,-0.058,0.288,0.083,0.490,-0.047,-0.263,0.163,0.047,-0.195,0.288,,,,,,,,,,,,
Humerus,Stature,Humerus [Stature],Upper,Relative,Model1,-0.193,-0.476,0.092,0.441,0.221,0.664,0.073,-0.149,0.299,0.231,-0.034,0.495,,,,,,,,,,,,
Humerus,Femur,Humerus [Femur],Upper,Relative,Model1,-0.241,-0.526,0.044,0.382,0.162,0.598,0.032,-0.194,0.258,0.143,-0.118,0.399,,,,,,,,,,,,
ForearmL,,ForearmL,Upper,Absolute,Model1,-0.101,-0.359,0.156,0.075,-0.150,0.299,-0.129,-0.364,0.105,-0.038,-0.266,0.192,,,,,,,,,,,,
ForearmL,Stature,ForearmL [Stature],Upper,Relative,Model1,0.001,-0.281,0.280,0.185,-0.066,0.433,-0.023,-0.291,0.245,0.089,-0.177,0.352,,,,,,,,,,,,
ForearmL,Humerus,ForearmL [Humerus],Upper,Relative,Model1,-0.146,-0.415,0.126,0.025,-0.218,0.267,-0.178,-0.424,0.070,-0.085,-0.326,0.154,,,,,,,,,,,,
FootL,,FootL,Extremities,Absolute,Model1,-0.028,-0.297,0.238,-0.105,-0.354,0.144,-0.209,-0.429,0.007,-0.242,-0.442,-0.045,,,,,,,,,,,,
FootL,Stature,FootL [Stature],Extremities,Relative,Model1,-0.032,-0.311,0.250,-0.104,-0.371,0.162,-0.208,-0.441,0.027,-0.239,-0.458,-0.016,,,,,,,,,,,,
