"proportion_id","focal","control","sex","dataset","sport1","sport2","comparison","p_same_sign","p_tradeoff","sport1_mean","sport2_mean"
"PC1","PC1","absolute","F","m1","climb","run","climb_vs_run",0.71775,0.28225,-0.1833352919686,-0.113132017393395
"PC1","PC1","absolute","M","m1","climb","run","climb_vs_run",0.5405,0.4595,-0.0158466606328569,-0.214304971699097
"Stature","Stature","absolute","F","m1","climb","run","climb_vs_run",0.5510625,0.4489375,-0.19467358924039,-0.0227650878196984
"Stature","Stature","absolute","M","m1","climb","run","climb_vs_run",0.499875,0.500125,0.000351253896196218,-0.214847287797294
"SitHeight","SitHeight","absolute","F","m1","climb","run","climb_vs_run",0.4904375,0.5095625,-0.134582072958989,0.00887672629405348
"SitHeight","SitHeight","absolute","M","m1","climb","run","climb_vs_run",0.4385,0.5615,0.0246130902094968,-0.284178048333347
"SitHeight.Stature","SitHeight","Stature","F","m1","climb","run","climb_vs_run",0.5514375,0.4485625,-0.0587809074685479,0.0707545991209236
"SitHeight.Stature","SitHeight","Stature","M","m1","climb","run","climb_vs_run",0.38425,0.61575,0.0907748667222102,-0.214607765971923
"ArmSpan","ArmSpan","absolute","F","m1","climb","run","climb_vs_run",0.676375,0.323625,-0.211039820890296,-0.0863074772966476
"ArmSpan","ArmSpan","absolute","M","m1","climb","run","climb_vs_run",0.3370625,0.6629375,0.143920087622873,-0.0877271359473922
"ArmSpan.Stature","ArmSpan","Stature","F","m1","climb","run","climb_vs_run",0.552375,0.447625,-0.0613780762970956,0.0574497367869466
"ArmSpan.Stature","ArmSpan","Stature","M","m1","climb","run","climb_vs_run",0.678,0.322,0.298245879557933,0.0757990675984164
"Leg","Leg","absolute","F","m1","climb","run","climb_vs_run",0.6048125,0.3951875,-0.206521832263773,-0.0462429979567961
"Leg","Leg","absolute","M","m1","climb","run","climb_vs_run",0.53025,0.46975,-0.0198003148959969,-0.103447161543336
"Leg.Stature","Leg","Stature","F","m1","climb","run","climb_vs_run",0.5771875,0.4228125,-0.111889531639317,0.0446053369572731
"Leg.Stature","Leg","Stature","M","m1","climb","run","climb_vs_run",0.6415,0.3585,0.0739148691232169,-0.00893849970934381
"Femur","Femur","absolute","F","m1","climb","run","climb_vs_run",0.51875,0.48125,-0.216026481854519,-0.00778176365007812
"Femur","Femur","absolute","M","m1","climb","run","climb_vs_run",0.49725,0.50275,0.000591815411886682,-0.0647050076234702
"Femur.Stature","Femur","Stature","F","m1","climb","run","climb_vs_run",0.4864375,0.5135625,-0.110517646467251,0.0785068193666317
"Femur.Stature","Femur","Stature","M","m1","climb","run","climb_vs_run",0.614375,0.385625,0.106113622349545,0.0315341902542156
"Tibia","Tibia","absolute","F","m1","climb","run","climb_vs_run",0.7320625,0.2679375,-0.217869804089392,-0.111424040227063
"Tibia","Tibia","absolute","M","m1","climb","run","climb_vs_run",0.6145,0.3855,-0.0802191618780516,-0.108448408247065
"Tibia.Stature","Tibia","Stature","F","m1","climb","run","climb_vs_run",0.73925,0.26075,-0.227030196241425,-0.120992826235176
"Tibia.Stature","Tibia","Stature","M","m1","climb","run","climb_vs_run",0.687875,0.312125,-0.0891000383512858,-0.114813790124052
"Tibia.Femur","Tibia","Femur","F","m1","climb","run","climb_vs_run",0.8095,0.1905,-0.277601594597314,-0.159170778737638
"Tibia.Femur","Tibia","Femur","M","m1","climb","run","climb_vs_run",0.754875,0.245125,-0.142567925811269,-0.159319665073632
"Arm","Arm","absolute","F","m1","climb","run","climb_vs_run",0.6495625,0.3504375,-0.204488108895545,-0.0734952232088044
"Arm","Arm","absolute","M","m1","climb","run","climb_vs_run",0.4279375,0.5720625,0.208890588567188,-0.0289974965358902
"Arm.Stature","Arm","Stature","F","m1","climb","run","climb_vs_run",0.565625,0.434375,0.000861169170712688,0.138373187671813
"Arm.Stature","Arm","Stature","M","m1","climb","run","climb_vs_run",0.8886875,0.1113125,0.430432542117657,0.218957457435647
"Arm.Leg","Arm","Leg","F","m1","climb","run","climb_vs_run",0.5693125,0.4306875,-0.00590449009772772,0.103518240654611
"Arm.Leg","Arm","Leg","M","m1","climb","run","climb_vs_run",0.832375,0.167625,0.402610672187265,0.167675532493356
"Humerus","Humerus","absolute","F","m1","climb","run","climb_vs_run",0.6278125,0.3721875,-0.326914551072437,-0.0472880689495183
"Humerus","Humerus","absolute","M","m1","climb","run","climb_vs_run",0.6185625,0.3814375,0.28844962191847,0.0468955027170566
"Humerus.Stature","Humerus","Stature","F","m1","climb","run","climb_vs_run",0.3725,0.6275,-0.192838205577998,0.072515378479982
"Humerus.Stature","Humerus","Stature","M","m1","climb","run","climb_vs_run",0.9180625,0.0819375,0.441062967108199,0.230555869895009
"Humerus.Femur","Humerus","Femur","F","m1","climb","run","climb_vs_run",0.440875,0.559125,-0.240850292656995,0.0317916252945564
"Humerus.Femur","Humerus","Femur","M","m1","climb","run","climb_vs_run",0.8100625,0.1899375,0.382006802382889,0.142808557297803
"ForearmL","ForearmL","absolute","F","m1","climb","run","climb_vs_run",0.6445,0.3555,-0.101212937324542,-0.128919998375199
"ForearmL","ForearmL","absolute","M","m1","climb","run","climb_vs_run",0.451125,0.548875,0.0750497588777629,-0.0375181317266389
"ForearmL.Stature","ForearmL","Stature","F","m1","climb","run","climb_vs_run",0.558875,0.441125,0.000947282782934506,-0.0229850551559371
"ForearmL.Stature","ForearmL","Stature","M","m1","climb","run","climb_vs_run",0.6926875,0.3073125,0.184569492845737,0.0888976669903281
"ForearmL.Humerus","ForearmL","Humerus","F","m1","climb","run","climb_vs_run",0.739,0.261,-0.146066792026415,-0.177592966686399
"ForearmL.Humerus","ForearmL","Humerus","M","m1","climb","run","climb_vs_run",0.496,0.504,0.0249600943147783,-0.0845002652998189
"FootLength","FootLength","absolute","F","m1","climb","run","climb_vs_run",0.5556875,0.4443125,-0.0279298501225602,-0.209405710681706
"FootLength","FootLength","absolute","M","m1","climb","run","climb_vs_run",0.7394375,0.2605625,-0.10524441469944,-0.242228944702378
"FootLength.Stature","FootLength","Stature","F","m1","climb","run","climb_vs_run",0.5723125,0.4276875,-0.0315026281942305,-0.208141087610096
"FootLength.Stature","FootLength","Stature","M","m1","climb","run","climb_vs_run",0.7264375,0.2735625,-0.103764665211854,-0.239184873932639
"FootBreadth","FootBreadth","absolute","F","m1","climb","run","climb_vs_run",0.595375,0.404625,-0.107398844768509,-0.0733598819528454
"FootBreadth","FootBreadth","absolute","M","m1","climb","run","climb_vs_run",0.3384375,0.6615625,0.109189559710703,-0.112093138300801
"FootBreadth.Stature","FootBreadth","Stature","F","m1","climb","run","climb_vs_run",0.5319375,0.4680625,-0.087608089293357,-0.0160485939686151
"FootBreadth.Stature","FootBreadth","Stature","M","m1","climb","run","climb_vs_run",0.3728125,0.6271875,0.161328661005255,-0.0668752300404845
"HandLength","HandLength","absolute","F","m1","climb","run","climb_vs_run",0.536875,0.463125,-0.0645417167471383,-0.048639932434913
"HandLength","HandLength","absolute","M","m1","climb","run","climb_vs_run",0.4189375,0.5810625,0.0920909840102377,-0.0636372305373657
"HandLength.Stature","HandLength","Stature","F","m1","climb","run","climb_vs_run",0.5355,0.4645,0.00564556080808525,0.054450286558779
"HandLength.Stature","HandLength","Stature","M","m1","climb","run","climb_vs_run",0.6259375,0.3740625,0.191487536540956,0.0513630151264153
"HandBreadth","HandBreadth","absolute","F","m1","climb","run","climb_vs_run",0.422625,0.577375,-0.169912725099574,0.0371767123593226
"HandBreadth","HandBreadth","absolute","M","m1","climb","run","climb_vs_run",0.126125,0.873875,0.134261488251226,-0.441311067116977
"HandBreadth.Stature","HandBreadth","Stature","F","m1","climb","run","climb_vs_run",0.3914375,0.6085625,-0.148612701115606,0.0675287753760702
"HandBreadth.Stature","HandBreadth","Stature","M","m1","climb","run","climb_vs_run",0.1264375,0.8735625,0.140011035401514,-0.401193870135077
"Finger","Finger","absolute","F","m1","climb","run","climb_vs_run",0.4948125,0.5051875,-0.00910001887605669,-0.0177905592642719
